Description,Price,Rating,Review Count,URL
"Noise Flair in-Ear Wireless Bluetooth Smart Neckband Earphone with Touch Controls, 35 Hour Playtime, Environmental noise Cancellation with Dual mic, Fast Charging (Forest Green)","₹1,799",3.9 out of 5 stars,"8,649",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A042002221HB3G1SJQ62Y&url=%2FNoise-Wireless-Bluetooth-Environmental-Cancellation%2Fdp%2FB08SVZJNVP%2Fref%3Dsr_1_18_sspa%3Fcrid%3DAWC66IMNQMNW%26keywords%3Dwireless%2Bearphones%26qid%3D1641748221%26sprefix%3Dwireless%2Bearphones%252Caps%252C238%26sr%3D8-18-spons%26psc%3D1&qualifier=1641748221&id=2724894085081939&widgetName=sp_atf_next
Boult Audio Airbass Monopod Bluetooth Truly Wireless in Ear Earbuds with Mic Black,₹499,3.8 out of 5 stars,"15,365",https://www.amazon.in/Boult-Audio-Bluetooth-Earphones-Sweatproof/dp/B07LG2CRYC/ref=sr_1_19?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&smid=A14CZOWI0VEHLG&sprefix=wireless+earphones%2Caps%2C238&sr=8-19
"REDWIND Neckband Wireless Bluetooth Earphone Built-in Mic, HiFi Bass Super Sound Noise Cancellation for REALME 8 7 7i 6 6i 5 5i 3 X50 C3 C25 C21 C20 C15 C12 C11 XT REN0 6 5 4 2 X50 All Pro Devices",₹199,4.0 out of 5 stars,26,https://www.amazon.in/REDWIND-Neckband-Wireless-Bluetooth-Cancellation/dp/B09NQ7GRJF/ref=sr_1_20?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-20
OnePlus Bullets Wireless Z Bass Edition (Bass Blue),"₹1,999",4.3 out of 5 stars,"165,907",https://www.amazon.in/OnePlus-Bullets-Wireless-Bass-Blue/dp/B08HLSW3Y9/ref=sr_1_21?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-21
"pTron Bassbuds Plus True Wireless Bluetooth 5.0 Headphones, Deep Bass, Made in India, IPX4 Water/Sweat Resistant, Passive Noise Canceling TWS Earbuds, Digital Display Case & Built-in HD Mic (Black)",₹799,3.6 out of 5 stars,"11,325",https://www.amazon.in/Bassbuds-Plus-Bluetooth-Headphones-Resistant/dp/B08S19YC6H/ref=sr_1_22?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-22
iBall EarWear Sporty Wireless Bluetooth in Ear Headset with Mic (Full Black),₹449,3.7 out of 5 stars,"5,421",https://www.amazon.in/iBall-Sporty-Smartphones-Full-Black/dp/B07VNR12XM/ref=sr_1_23?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-23
"Newly Launched Boult Audio ZCharge Wireless Earphones with 40H Playtime & Super Fast Charging, Environmental Noise Cancellation for Pro+ Calling & IPX5 Water Resistant (Black)","₹1,499",4.2 out of 5 stars,104,https://www.amazon.in/Boult-Audio-Earphones-Environmental-Cancellation/dp/B09NR6G588/ref=sr_1_24?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&smid=A14CZOWI0VEHLG&sprefix=wireless+earphones%2Caps%2C238&sr=8-24
boAt Rockerz 255 Pro+ Bluetooth Wireless in Ear Earphones with Mic (Navy Blue),"₹1,499",4.1 out of 5 stars,"431,855",https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TTXNZ4Y/ref=sr_1_25?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-25
boAt Rockerz 255 Pro+ Bluetooth Wireless in Ear Earphones with Mic (Active Black),"₹1,199",4.1 out of 5 stars,"431,855",https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=sr_1_26?crid=AWC66IMNQMNW&keywords=wireless+earphones&qid=1641748221&sprefix=wireless+earphones%2Caps%2C238&sr=8-26
"Noise Buds VS103 - Truly Wireless Earbuds with 18-Hour Playtime, HyperSync Technology, Full Touch Controls and Voice Assistant (Jet Black)","₹1,499",3.8 out of 5 stars,"14,299",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A049684833WZQ3Y1LGP8C&url=%2FNoise-Buds-VS103-HyperSync-Technology%2Fdp%2FB095Z1NBK6%2Fref%3Dsr_1_27_sspa%3Fcrid%3DAWC66IMNQMNW%26keywords%3Dwireless%2Bearphones%26qid%3D1641748221%26sprefix%3Dwireless%2Bearphones%252Caps%252C238%26sr%3D8-27-spons%26psc%3D1&qualifier=1641748221&id=2724894085081939&widgetName=sp_mtf
